tourney_name,tourney_date,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,round,minutes,w_ace,w_df,w_svpt,w_1st_in,w_1st_won,w_2nd_won,w_sv_gms,w_bp_saved,w_bp_faced,l_ace,l_df,l_svpt,l_1st_in,l_1st_won,l_2nd_won,l_sv_gms,l_bp_saved,l_bp_faced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
Australian Open,2014-01-13,104745,1,NA,Rafael Nadal,L,185,ESP,27.6,106071,NA,NA,Bernard Tomic,R,193,AUS,21.2,6-4 RET,R128,41,5,1,26,16,14,6,5,0,0,3,1,28,19,15,3,5,0,1,1,13130,57,810
Australian Open,2014-01-13,106423,NA,WC,Thanasi Kokkinakis,R,196,AUS,17.7,104997,NA,NA,Igor Sijsling,R,190,NED,26.4,7-6(4) 0-6 7-6(3) 6-2,R128,182,6,9,147,79,55,36,19,5,9,20,4,123,73,57,22,19,2,5,570,53,73,681
Australian Open,2014-01-13,106058,NA,NA,Jack Sock,R,185,USA,21.3,104735,NA,NA,Tobias Kamke,R,180,GER,27.6,7-6(5) 5-7 6-2 6-4,R128,242,16,12,148,74,54,43,21,10,12,6,8,136,66,51,36,21,6,10,95,582,78,651
Australian Open,2014-01-13,104792,25,NA,Gael Monfils,R,193,FRA,27.3,105992,NA,NA,Ryan Harrison,R,183,USA,21.6,6-4 6-4 6-4,R128,111,10,5,78,51,44,17,15,0,0,2,1,93,57,42,17,15,1,4,32,1245,110,504
Australian Open,2014-01-13,104312,24,NA,Andreas Seppi,R,190,ITA,29.8,103720,NA,NA,Lleyton Hewitt,R,180,AUS,32.8,7-6(4) 6-3 5-7 5-7 7-5,R128,258,17,5,176,103,72,40,29,6,13,23,5,177,90,76,38,28,11,18,25,1360,43,1010
Australian Open,2014-01-13,105385,NA,NA,Donald Young,L,183,USA,24.4,104898,NA,NA,Robin Haase,R,190,NED,26.7,6-7(4) 7-6(2) 6-2 1-0 RET,R128,154,0,5,106,77,58,16,16,3,4,11,6,124,81,55,19,15,5,7,91,595,45,977
Australian Open,2014-01-13,105583,NA,Q,Dusan Lajovic,R,180,SRB,23.5,106298,NA,WC,Lucas Pouille,R,185,FRA,19.8,6-4 7-6(9) 4-6 6-3,R128,183,7,7,132,80,53,30,21,4,8,2,10,135,84,56,21,20,5,10,117,483,193,262
Australian Open,2014-01-13,105453,16,NA,Kei Nishikori,R,178,JPN,24,104594,NA,NA,Marinko Matosevic,R,194,AUS,28.4,6-3 5-7 6-2 4-6 6-2,R128,221,6,5,143,96,69,26,23,6,9,13,9,172,103,68,30,24,8,15,17,1915,54,856
Australian Open,2014-01-13,105683,11,NA,Milos Raonic,R,196,CAN,23,104593,NA,NA,Daniel Gimeno Traver,R,185,ESP,28.4,7-6(2) 6-1 4-6 6-2,R128,144,21,7,101,65,56,17,18,3,6,5,5,122,69,43,25,19,13,20,11,2860,77,662
Australian Open,2014-01-13,103812,NA,NA,Victor Hanescu,R,198,ROU,32.4,105376,NA,Q,Peter Gojowczyk,R,185,GER,24.4,7-6(5) 7-6(5) 6-3,R128,136,8,4,120,78,59,24,17,5,6,7,6,104,57,44,22,16,5,7,76,665,135,423
Australian Open,2014-01-13,104229,NA,NA,Yen Hsun Lu,R,180,TPE,30.4,104499,NA,Q,Jimmy Wang,R,178,TPE,28.9,6-3 6-2 6-1,R128,108,9,5,76,47,33,11,12,4,7,1,3,101,64,32,12,12,10,19,53,860,173,302
Australian Open,2014-01-13,105777,22,NA,Grigor Dimitrov,R,188,BUL,22.6,105614,NA,NA,Bradley Klahn,L,190,USA,23.4,6-7(7) 6-4 6-4 6-3,R128,154,14,4,108,62,55,30,20,0,0,10,9,130,75,54,28,21,4,8,22,1460,93,592
Australian Open,2014-01-13,105332,27,NA,Benoit Paire,R,196,FRA,24.6,104433,NA,Q,Frank Dancevic,R,185,CAN,29.2,7-6(12) 6-3 6-4,R128,132,24,6,106,60,54,22,16,3,4,12,3,108,65,48,19,15,9,12,28,1300,122,460
Australian Open,2014-01-13,106401,NA,WC,Nick Kyrgios,R,193,AUS,18.7,103794,NA,NA,Benjamin Becker,R,178,GER,32.5,6-3 6-7(5) 6-2 7-6(2),R128,152,34,13,123,69,63,22,21,4,7,12,5,124,65,44,32,20,2,8,183,277,81,640
Australian Open,2014-01-13,105138,NA,NA,Roberto Bautista Agut,R,183,ESP,25.7,105065,NA,NA,Tim Smyczek,R,175,USA,26,6-2 6-1 6-1,R128,90,1,1,61,50,37,7,11,1,2,8,5,89,54,28,10,11,10,18,62,750,90,600
Australian Open,2014-01-13,105223,5,NA,Juan Martin del Potro,R,198,ARG,25.3,105733,NA,Q,Rhyne Williams,R,185,USA,22.8,6-7(1) 6-3 6-4 6-4,R128,184,16,3,115,73,61,24,21,1,2,29,1,114,65,52,25,20,4,8,5,5415,130,428
Australian Open,2014-01-13,104918,4,NA,Andy Murray,R,190,GBR,26.6,104424,NA,NA,Go Soeda,R,178,JPN,29.3,6-1 6-1 6-3,R128,87,11,2,59,41,33,11,11,0,0,6,3,74,45,28,6,12,6,13,4,5560,112,498
Australian Open,2014-01-13,104672,NA,Q,Vincent Millot,L,173,FRA,27.9,104639,NA,Q,Wayne Odesnik,L,180,USA,28.1,7-5 4-6 6-7(4) 6-1 6-3,R128,209,18,9,166,96,64,33,25,13,20,11,2,165,110,66,23,25,15,26,267,170,139,410
Australian Open,2014-01-13,103582,NA,Q,Michael Berrer,L,193,GER,33.5,103566,NA,NA,Michael Llodra,L,190,FRA,33.6,6-4 7-5 6-1,R128,94,9,6,73,46,39,19,14,2,2,10,5,96,69,47,12,15,7,12,144,391,102,541
Australian Open,2014-01-13,103852,26,NA,Feliciano Lopez,L,188,ESP,32.3,104500,NA,NA,Somdev Devvarman,R,180,IND,28.9,6-4 6-4 7-6(2),R128,133,12,2,95,62,50,18,16,5,7,6,1,104,54,34,28,16,3,7,27,1310,97,579
Australian Open,2014-01-13,103565,NA,LL,Stephane Robert,R,185,FRA,33.6,105379,NA,NA,Aljaz Bedene,R,181,SLO,24.4,7-6(3) 6-3 6-0,R128,113,4,2,71,33,25,21,13,1,5,16,11,107,58,40,9,14,8,17,119,479,104,528
Australian Open,2014-01-13,104308,NA,NA,Michal Przysiezny,R,185,POL,29.9,104547,NA,NA,Horacio Zeballos,L,188,ARG,28.7,6-3 7-6(4) 7-5,R128,126,15,0,89,61,48,17,16,2,4,11,4,100,60,43,18,17,3,8,64,730,65,730
Australian Open,2014-01-13,105641,NA,Q,Blaz Rola,L,193,SLO,23.2,105643,NA,NA,Federico Delbonis,L,190,ARG,23.2,6-4 6-2 7-5,R128,128,6,8,102,69,57,13,15,8,8,4,1,92,58,38,16,15,5,9,185,276,55,826
Australian Open,2014-01-13,105373,NA,LL,Martin Klizan,L,190,SVK,24.5,104545,13,NA,John Isner,R,206,USA,28.7,6-2 7-6(6) RET,R128,82,9,2,58,32,27,21,11,3,3,10,0,67,52,36,6,10,3,5,106,518,13,2310
Australian Open,2014-01-13,104542,10,NA,Jo-Wilfried Tsonga,R,188,FRA,28.7,103835,NA,NA,Filippo Volandri,R,183,ITA,32.3,7-5 6-3 6-3,R128,110,15,1,82,51,37,23,15,1,2,2,6,99,60,37,18,15,8,13,10,3065,70,694
Australian Open,2014-01-13,105064,NA,Q,Thomaz Bellucci,L,188,BRA,26,104714,NA,NA,Julian Reister,R,188,GER,27.7,4-6 6-3 7-6(5) RET,R128,132,8,6,99,53,40,23,16,4,8,5,8,92,57,43,14,15,3,7,129,430,88,612
Australian Open,2014-01-13,105227,NA,NA,Marin Cilic,R,198,CRO,25.2,104719,NA,NA,Marcel Granollers,R,190,ESP,27.7,4-6 4-6 6-3 6-3 6-2,R128,192,22,4,120,70,58,29,23,1,3,13,3,149,91,64,27,23,3,8,36,1130,35,1155
Australian Open,2014-01-13,104468,18,NA,Gilles Simon,R,183,FRA,29,104978,NA,NA,Daniel Brands,R,196,GER,26.4,6-7(4) 6-4 3-6 6-3 16-14,R128,272,32,17,257,143,114,57,35,23,25,41,4,204,128,108,37,35,6,10,19,1790,59,779
Australian Open,2014-01-13,104269,31,NA,Fernando Verdasco,L,188,ESP,30.1,105585,NA,Q,Ze Zhang,R,188,CHN,23.5,5-7 6-3 6-2 6-3,R128,146,20,6,115,70,59,24,19,4,5,7,6,111,64,44,25,19,9,14,33,1235,253,182
Australian Open,2014-01-13,104559,NA,NA,Teymuraz Gabashvili,R,188,RUS,28.6,104660,NA,NA,Sergiy Stakhovsky,R,193,UKR,28,6-7(3) 6-4 6-2 6-0,R128,171,5,4,114,66,49,24,18,3,6,14,8,131,72,50,21,18,8,17,79,651,82,636
Australian Open,2014-01-13,104882,NA,NA,Blaz Kavcic,R,188,SLO,26.8,103285,NA,NA,Radek Stepanek,R,185,CZE,35.1,6-7(3) 4-6 6-1 2-0 RET,R128,167,10,6,103,65,43,22,16,7,11,5,11,122,62,37,29,16,8,14,99,559,44,995
Australian Open,2014-01-13,103819,6,NA,Roger Federer,R,185,SUI,32.4,105902,NA,WC,James Duckworth,R,183,AUS,21.9,6-4 6-4 6-2,R128,106,11,5,78,45,40,19,14,1,1,13,3,92,48,36,19,14,13,17,6,4355,133,425
Australian Open,2014-01-13,104607,7,NA,Tomas Berdych,R,196,CZE,28.3,104873,NA,NA,Aleksandr Nedovyesov,R,193,KAZ,26.9,6-3 6-4 6-3,R128,110,8,0,71,47,39,19,14,2,2,8,2,93,57,37,17,14,10,14,7,4180,94,586
Australian Open,2014-01-13,104932,NA,NA,Kenny De Schepper,L,203,FRA,26.6,105842,NA,WC,Di Wu,R,175,CHN,22.3,7-5 7-5 7-6(2),R128,162,19,13,133,84,63,20,18,11,13,3,5,126,74,46,29,18,7,11,86,617,203,246
Australian Open,2014-01-13,106000,NA,Q,Damir Dzumhur,R,172,BIH,21.6,104225,NA,NA,Jan Hajek,R,180,CZE,30.4,6-4 6-2 6-1,R128,86,4,3,68,36,31,19,12,1,2,2,6,82,60,31,6,13,5,12,188,272,103,540
Australian Open,2014-01-13,104471,32,NA,Ivan Dodig,R,183,CRO,29,103333,NA,NA,Ivo Karlovic,R,208,CRO,34.8,7-6(8) 6-3 7-6(4),R128,114,8,2,100,83,68,12,17,2,3,25,1,101,67,55,18,16,1,3,34,1190,75,667
Australian Open,2014-01-13,104731,19,NA,Kevin Anderson,R,203,RSA,27.6,106210,NA,NA,Jiri Vesely,L,198,CZE,20.5,2-6 6-7(4) 6-4 6-4 6-4,R128,229,21,9,146,92,76,28,25,4,6,16,10,162,92,69,43,25,11,14,21,1580,83,636
Australian Open,2014-01-13,106233,NA,Q,Dominic Thiem,R,185,AUT,20.3,105311,NA,NA,Joao Sousa,R,185,POR,24.7,5-7 6-4 6-3 7-6(3),R128,185,20,3,137,76,60,31,21,5,8,8,0,144,94,57,30,22,7,12,136,422,50,925
Australian Open,2014-01-13,104273,NA,NA,Edouard Roger Vasselin,R,188,FRA,30.1,104122,NA,NA,Carlos Berlocq,R,183,ARG,30.9,6-4 7-6(5) 6-7(9) 6-2,R128,228,6,6,168,109,67,32,21,9,13,9,4,145,83,49,32,21,9,16,40,1038,41,1020
Australian Open,2014-01-13,104198,NA,NA,Guillermo Garcia Lopez,R,188,ESP,30.6,103163,12,NA,Tommy Haas,R,188,GER,35.7,7-5 5-2 RET,R128,80,7,3,60,35,27,11,9,1,2,4,7,60,31,22,11,10,0,4,58,801,12,2435
Australian Open,2014-01-13,104022,14,NA,Mikhail Youzhny,R,183,RUS,31.5,105526,NA,NA,Jan Lennard Struff,R,193,GER,23.7,6-1 6-4 6-2,R128,109,5,2,86,59,39,17,13,3,5,2,8,75,37,24,12,12,2,9,15,2145,105,527
Australian Open,2014-01-13,104252,NA,NA,Florian Mayer,R,190,GER,30.2,106045,NA,Q,Denis Kudla,R,180,USA,21.4,6-4 6-2 6-4,R128,105,6,1,83,49,37,21,14,2,3,1,2,96,57,35,18,14,6,11,37,1110,113,497
Australian Open,2014-01-13,104665,NA,NA,Pablo Andujar,R,180,ESP,27.9,105077,NA,NA,Albert Ramos,L,188,ESP,25.9,6-4 6-2 6-4,R128,115,2,1,90,66,40,15,14,4,7,2,3,84,51,32,10,14,5,12,48,946,84,626
Australian Open,2014-01-13,105668,20,NA,Jerzy Janowicz,R,203,POL,23.1,111442,NA,WC,Jordan Thompson,R,183,AUS,19.7,1-6 4-6 6-4 6-2 6-1,R128,196,17,11,162,104,74,27,21,7,10,13,7,131,79,57,22,21,4,9,20,1615,319,139
Australian Open,2014-01-13,104871,29,NA,Jeremy Chardy,R,188,FRA,26.9,104619,NA,NA,Jesse Huta Galung,R,188,NED,28.2,6-2 6-4 6-4,R128,110,9,3,88,58,46,16,14,5,5,9,7,86,47,39,15,14,5,9,31,1255,100,557
Australian Open,2014-01-13,105238,NA,NA,Alexandr Dolgopolov,R,180,UKR,25.1,105575,NA,Q,Ricardas Berankis,R,175,LTU,23.5,7-5 7-5 6-2,R128,123,8,4,91,53,42,23,16,2,3,10,3,114,57,40,25,16,11,16,56,825,128,433
Australian Open,2014-01-13,105173,NA,NA,Adrian Mannarino,L,183,FRA,25.5,105449,NA,WC,Steve Johnson,R,188,USA,24,3-6 6-3 6-0 5-7 6-4,R128,177,3,3,140,81,52,37,23,2,6,21,12,131,69,50,28,23,4,11,71,692,147,378
Australian Open,2014-01-13,103970,3,NA,David Ferrer,R,175,ESP,31.7,105292,NA,NA,Alejandro Gonzalez,R,190,COL,24.9,6-3 6-4 6-4,R128,125,2,6,83,44,28,21,15,2,7,2,4,88,60,34,7,14,4,12,3,5640,74,672
Australian Open,2014-01-13,104527,8,NA,Stan Wawrinka,R,183,SUI,28.7,104979,NA,NA,Andrey Golubev,R,185,KAZ,26.4,6-4 4-1 RET,R128,65,4,1,35,22,20,6,7,1,2,0,0,56,36,18,10,8,5,9,8,3890,85,620
Australian Open,2014-01-13,104268,NA,NA,Alejandro Falla,L,185,COL,30.1,105062,NA,NA,Mikhail Kukushkin,R,183,KAZ,26,6-7(2) 6-2 6-2 6-3,R128,189,4,2,123,74,50,23,18,10,14,2,3,156,86,55,23,19,18,28,87,612,66,721
Australian Open,2014-01-13,105051,NA,NA,Matthew Ebden,R,188,AUS,26.1,103917,NA,NA,Nicolas Mahut,R,190,FRA,31.9,6-3 7-5 4-6 0-6 6-3,R128,184,7,7,132,89,58,23,23,9,15,7,4,136,87,63,23,23,6,12,67,711,46,958
Australian Open,2014-01-13,105577,28,NA,Vasek Pospisil,R,193,CAN,23.5,105032,NA,WC,Sam Groth,R,193,AUS,26.2,6-4 6-3 6-4,R128,103,6,4,75,50,45,13,14,2,2,16,4,93,60,40,17,15,6,10,30,1289,157,334
Australian Open,2014-01-13,103990,17,NA,Tommy Robredo,R,180,ESP,31.7,104586,NA,NA,Lukas Rosol,R,196,CZE,28.4,6-1 6-7(7) 3-6 7-6(5) 8-6,R128,212,13,0,144,82,62,43,26,4,7,11,12,185,91,71,42,28,12,18,18,1810,47,956
Australian Open,2014-01-13,103898,NA,NA,Julien Benneteau,R,185,FRA,32,105807,NA,NA,Pablo Carreno Busta,R,188,ESP,22.5,6-3 3-6 4-6 6-1 6-2,R128,183,16,4,131,87,62,24,22,1,5,7,7,147,78,47,34,21,12,19,38,1090,63,739
Australian Open,2014-01-13,103786,NA,NA,Nikolay Davydenko,R,178,RUS,32.6,103997,NA,NA,Lukasz Kubot,R,190,POL,31.6,3-6 6-3 3-6 6-3 6-4,R128,219,6,4,135,104,76,11,23,8,14,8,12,168,100,68,25,23,17,24,61,760,72,686
Australian Open,2014-01-13,104755,9,NA,Richard Gasquet,R,185,FRA,27.5,104095,NA,Q,David Guez,R,185,FRA,31,7-5 6-4 6-1,R128,113,12,0,85,58,43,13,15,4,7,3,0,76,48,26,12,14,3,10,9,3140,176,286
Australian Open,2014-01-13,104926,15,NA,Fabio Fognini,R,178,ITA,26.6,104166,NA,NA,Alex Bogomolov Jr,R,178,RUS,30.7,6-3 6-2 RET,R128,89,3,4,55,27,19,14,8,4,6,0,11,84,44,25,14,9,14,20,16,1930,89,611
Australian Open,2014-01-13,103813,NA,NA,Jarkko Nieminen,L,185,FIN,32.4,104534,NA,NA,Dudi Sela,R,175,ISR,28.7,3-6 7-6(3) 6-7(3) 6-3 6-3,R128,218,2,5,176,103,66,34,26,8,17,5,3,170,113,72,25,25,7,17,39,1090,68,706
Australian Open,2014-01-13,105023,NA,NA,Sam Querrey,R,198,USA,26.2,105053,NA,NA,Santiago Giraldo,R,188,COL,26.1,6-3 6-2 3-6 7-6(3),R128,133,24,4,117,74,60,22,19,5,7,9,3,113,72,50,23,19,3,7,51,915,69,703
Australian Open,2014-01-13,105208,23,NA,Ernests Gulbis,R,190,LAT,25.3,104338,NA,NA,Juan Monaco,R,185,ARG,29.7,1-6 6-4 7-6(4) 6-2,R128,189,17,11,144,76,59,32,19,9,12,0,4,111,84,63,12,18,2,5,24,1418,42,1015
Australian Open,2014-01-13,104098,30,NA,Dmitry Tursunov,R,185,RUS,31,103188,NA,NA,Michael Russell,R,173,USA,35.7,6-2 6-2 6-3,R128,116,8,6,99,52,39,24,13,6,7,1,8,84,42,24,19,12,3,9,26,1314,92,594
Australian Open,2014-01-13,104797,NA,NA,Denis Istomin,R,188,UZB,27.3,104571,NA,NA,Marcos Baghdatis,R,183,CYP,28.5,6-4 7-5 6-4,R128,156,9,1,105,80,56,16,16,8,9,9,4,127,66,53,20,16,9,13,49,945,108,515
Australian Open,2014-01-13,104919,NA,NA,Leonardo Mayer,R,188,ARG,26.6,103656,NA,NA,Albert Montanes,R,175,ESP,33.1,6-1 6-3 6-1,R128,70,13,1,54,33,31,13,11,0,0,1,4,68,41,23,9,12,7,14,98,579,60,766
Australian Open,2014-01-13,104925,2,NA,Novak Djokovic,R,188,SRB,26.6,105041,NA,NA,Lukas Lacko,R,185,SVK,26.1,6-3 7-6(2) 6-1,R128,110,9,0,79,54,45,17,15,2,3,5,1,92,56,35,18,13,4,8,2,12260,96,582
Australian Open,2014-01-13,104745,1,NA,Rafael Nadal,L,185,ESP,27.6,106423,NA,WC,Thanasi Kokkinakis,R,196,AUS,17.7,6-2 6-4 6-2,R64,113,7,1,74,56,46,10,13,3,3,4,2,78,52,33,10,13,5,10,1,13130,570,53
Australian Open,2014-01-13,104792,25,NA,Gael Monfils,R,193,FRA,27.3,106058,NA,NA,Jack Sock,R,185,USA,21.3,7-6(2) 7-5 6-2,R64,123,13,3,91,56,47,23,16,0,1,5,9,118,69,48,23,16,7,11,32,1245,95,582
Australian Open,2014-01-13,105385,NA,NA,Donald Young,L,183,USA,24.4,104312,24,NA,Andreas Seppi,R,190,ITA,29.8,6-4 2-6 6-3 4-6 7-5,R64,211,6,15,177,106,71,30,25,12,18,12,10,148,84,57,33,24,9,15,91,595,25,1360
Australian Open,2014-01-13,105453,16,NA,Kei Nishikori,R,178,JPN,24,105583,NA,Q,Dusan Lajovic,R,180,SRB,23.5,6-1 6-1 7-6(3),R64,109,5,3,81,52,43,15,13,4,5,7,3,91,63,35,10,13,6,12,17,1915,117,483
Australian Open,2014-01-13,105683,11,NA,Milos Raonic,R,196,CAN,23,103812,NA,NA,Victor Hanescu,R,198,ROU,32.4,7-6(9) 6-4 6-4,R64,139,27,3,104,67,57,23,16,5,5,6,1,113,76,55,22,16,4,6,11,2860,76,665
Australian Open,2014-01-13,105777,22,NA,Grigor Dimitrov,R,188,BUL,22.6,104229,NA,NA,Yen Hsun Lu,R,180,TPE,30.4,6-3 6-3 7-6(11),R64,124,15,7,96,58,50,17,15,2,4,2,2,116,82,47,19,15,16,21,22,1460,53,860
Australian Open,2014-01-13,105332,27,NA,Benoit Paire,R,196,FRA,24.6,106401,NA,WC,Nick Kyrgios,R,193,AUS,18.7,6-7(5) 6-7(5) 6-4 6-2 6-2,R64,200,32,5,161,82,69,46,25,8,10,24,11,186,124,87,26,25,17,24,28,1300,183,277
Australian Open,2014-01-13,105138,NA,NA,Roberto Bautista Agut,R,183,ESP,25.7,105223,5,NA,Juan Martin del Potro,R,198,ARG,25.3,4-6 6-3 5-7 6-4 7-5,R64,233,12,6,166,116,89,22,27,13,17,28,2,148,107,76,21,26,3,8,62,750,5,5415
Australian Open,2014-01-13,104918,4,NA,Andy Murray,R,190,GBR,26.6,104672,NA,Q,Vincent Millot,L,173,FRA,27.9,6-2 6-2 7-5,R64,121,5,5,75,44,35,17,14,1,4,2,7,99,54,25,20,14,9,17,4,5560,267,170
Australian Open,2014-01-13,103852,26,NA,Feliciano Lopez,L,188,ESP,32.3,103582,NA,Q,Michael Berrer,L,193,GER,33.5,6-4 7-6(6) 6-4,R64,133,8,3,97,60,45,23,16,2,4,6,3,108,75,49,17,16,8,12,27,1310,144,391
Australian Open,2014-01-13,103565,NA,LL,Stephane Robert,R,185,FRA,33.6,104308,NA,NA,Michal Przysiezny,R,185,POL,29.9,7-6(3) 6-1 6-7(3) 6-1,R64,153,12,8,124,71,55,31,20,5,7,12,6,131,72,47,27,18,11,17,119,479,64,730
Australian Open,2014-01-13,105373,NA,LL,Martin Klizan,L,190,SVK,24.5,105641,NA,Q,Blaz Rola,L,193,SLO,23.2,6-4 6-3 5-7 7-6(2),R64,172,16,5,116,67,49,34,21,1,4,12,8,146,92,66,24,22,9,14,106,518,185,276
Australian Open,2014-01-13,104542,10,NA,Jo-Wilfried Tsonga,R,188,FRA,28.7,105064,NA,Q,Thomaz Bellucci,L,188,BRA,26,7-6(6) 6-4 6-4,R64,135,13,6,92,59,51,18,16,3,4,9,5,106,48,31,34,16,6,9,10,3065,129,430
Australian Open,2014-01-13,104468,18,NA,Gilles Simon,R,183,FRA,29,105227,NA,NA,Marin Cilic,R,198,CRO,25.2,4-6 7-6(3) 6-7(5) 6-1 6-2,R64,237,7,8,180,89,65,41,25,8,15,15,7,147,73,50,32,24,2,12,19,1790,36,1130
Australian Open,2014-01-13,104559,NA,NA,Teymuraz Gabashvili,R,188,RUS,28.6,104269,31,NA,Fernando Verdasco,L,188,ESP,30.1,7-6(1) 3-6 2-6 6-4 6-4,R64,211,2,4,143,98,63,25,24,4,10,11,18,159,93,64,37,25,12,17,79,651,33,1235
Australian Open,2014-01-13,103819,6,NA,Roger Federer,R,185,SUI,32.4,104882,NA,NA,Blaz Kavcic,R,188,SLO,26.8,6-2 6-1 7-6(4),R64,107,11,0,76,58,45,9,13,1,2,6,3,99,61,32,18,14,5,11,6,4355,99,559
Australian Open,2014-01-13,104607,7,NA,Tomas Berdych,R,196,CZE,28.3,104932,NA,NA,Kenny De Schepper,L,203,FRA,26.6,6-4 6-1 6-3,R64,102,5,4,66,42,37,15,13,0,0,8,9,84,54,33,10,13,3,8,7,4180,86,617
Australian Open,2014-01-13,106000,NA,Q,Damir Dzumhur,R,172,BIH,21.6,104471,32,NA,Ivan Dodig,R,183,CRO,29,4-6 4-6 6-3 4-1 RET,R64,142,7,6,94,48,36,26,16,4,7,14,2,92,52,40,19,16,2,5,188,272,34,1190
Australian Open,2014-01-13,104731,19,NA,Kevin Anderson,R,203,RSA,27.6,106233,NA,Q,Dominic Thiem,R,185,AUT,20.3,6-4 6-3 6-4,R64,107,15,5,80,51,43,18,15,2,2,10,3,76,44,34,16,14,2,5,21,1580,136,422
Australian Open,2014-01-13,104273,NA,NA,Edouard Roger Vasselin,R,188,FRA,30.1,104198,NA,NA,Guillermo Garcia Lopez,R,188,ESP,30.6,7-6(1) 6-4 4-6 6-1,R64,171,11,2,122,70,49,28,19,9,13,9,10,125,64,46,26,20,10,17,40,1038,58,801
Australian Open,2014-01-13,104252,NA,NA,Florian Mayer,R,190,GER,30.2,104022,14,NA,Mikhail Youzhny,R,183,RUS,31.5,6-4 3-6 6-3 3-6 6-3,R64,186,18,2,127,76,58,34,23,4,7,14,6,135,71,53,38,23,9,13,37,1110,15,2145
Australian Open,2014-01-13,105668,20,NA,Jerzy Janowicz,R,203,POL,23.1,104665,NA,NA,Pablo Andujar,R,180,ESP,27.9,4-6 7-6(3) 7-6(5) 6-3,R64,205,15,5,159,107,76,25,22,8,11,11,1,141,112,72,19,21,8,11,20,1615,48,946
Australian Open,2014-01-13,104871,29,NA,Jeremy Chardy,R,188,FRA,26.9,105238,NA,NA,Alexandr Dolgopolov,R,180,UKR,25.1,7-5 7-6(5) 6-7(3) 7-6(5),R64,211,22,10,160,95,74,30,24,8,12,15,2,163,115,80,23,24,9,14,31,1255,56,825
Australian Open,2014-01-13,103970,3,NA,David Ferrer,R,175,ESP,31.7,105173,NA,NA,Adrian Mannarino,L,183,FRA,25.5,7-6(2) 5-7 6-0 6-3,R64,182,0,3,118,81,56,18,19,5,10,3,1,137,77,44,25,20,8,17,3,5640,71,692
Australian Open,2014-01-13,104527,8,NA,Stan Wawrinka,R,183,SUI,28.7,104268,NA,NA,Alejandro Falla,L,185,COL,30.1,6-3 6-3 6-7(4) 6-4,R64,167,9,4,124,68,57,31,20,5,7,1,3,135,80,56,25,20,11,17,8,3890,87,612
Australian Open,2014-01-13,105577,28,NA,Vasek Pospisil,R,193,CAN,23.5,105051,NA,NA,Matthew Ebden,R,188,AUS,26.1,3-6 7-6(6) 7-6(9) 6-1,R64,169,14,3,128,77,59,31,20,8,11,9,3,125,86,64,19,20,1,5,30,1289,67,711
Australian Open,2014-01-13,103990,17,NA,Tommy Robredo,R,180,ESP,31.7,103898,NA,NA,Julien Benneteau,R,185,FRA,32,6-3 6-7(4) 6-1 7-6(6),R64,212,17,2,142,81,61,38,21,10,11,14,6,155,97,68,27,19,9,13,18,1810,38,1090
Australian Open,2014-01-13,104755,9,NA,Richard Gasquet,R,185,FRA,27.5,103786,NA,NA,Nikolay Davydenko,R,178,RUS,32.6,7-6(3) 6-4 6-4,R64,140,9,5,100,57,40,22,16,1,5,7,1,105,79,47,11,16,4,10,9,3140,61,760
Australian Open,2014-01-13,104926,15,NA,Fabio Fognini,R,178,ITA,26.6,103813,NA,NA,Jarkko Nieminen,L,185,FIN,32.4,7-5 6-4 3-6 6-2,R64,167,9,12,146,88,66,26,19,14,16,3,5,132,86,57,23,20,10,15,16,1930,39,1090
Australian Open,2014-01-13,105023,NA,NA,Sam Querrey,R,198,USA,26.2,105208,23,NA,Ernests Gulbis,R,190,LAT,25.3,6-2 6-3 6-4,R64,97,19,4,71,51,45,11,14,2,3,7,4,76,35,23,21,13,4,9,51,915,24,1418
Australian Open,2014-01-13,104797,NA,NA,Denis Istomin,R,188,UZB,27.3,104098,30,NA,Dmitry Tursunov,R,185,RUS,31,7-6(3) 4-6 6-1 6-4,R64,164,14,1,118,66,48,35,20,7,10,5,5,115,62,45,26,19,3,8,49,945,26,1314
Australian Open,2014-01-13,104925,2,NA,Novak Djokovic,R,188,SRB,26.6,104919,NA,NA,Leonardo Mayer,R,188,ARG,26.6,6-0 6-4 6-4,R64,107,12,2,67,44,36,17,13,0,0,3,7,85,44,28,17,13,1,6,2,12260,98,579
Australian Open,2014-01-13,104745,1,NA,Rafael Nadal,L,185,ESP,27.6,104792,25,NA,Gael Monfils,R,193,FRA,27.3,6-1 6-2 6-3,R32,124,2,0,79,52,38,20,12,6,6,10,5,98,67,38,11,12,6,12,1,13130,32,1245
Australian Open,2014-01-13,105453,16,NA,Kei Nishikori,R,178,JPN,24,105385,NA,NA,Donald Young,L,183,USA,24.4,7-5 6-1 6-0,R32,107,3,1,76,41,29,21,12,3,4,1,5,73,47,23,7,13,4,12,17,1915,91,595
